# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04206e-05 to 1.06897 h/Mpc,
# number of wavenumbers equal to 112
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_ur                  14:t_tot              
       8.211648629352e-02      -3.193732274012e-01      -1.035053883896e+04      -1.039351680011e+04      -3.186564961628e-01      -1.038649718605e+04      -1.038371780533e+04       7.966412404070e-02       7.966412404070e-02      -5.191064147102e-05       1.226807072816e+00       1.226924638390e+00      -5.165415187056e-05       1.226426152227e+00 
       8.524778096640e-02      -3.037661226485e-01      -1.060558378229e+04      -1.065472041253e+04      -3.030844190565e-01      -1.064674649689e+04      -1.064387762517e+04       7.577110476413e-02       7.577110476413e-02      -4.937367256607e-05       1.257537573688e+00       1.257669172231e+00      -4.912971834262e-05       1.257156455500e+00 
       8.842584951365e-02      -2.886298414835e-01      -1.083767080710e+04      -1.089349825984e+04      -2.879821099474e-01      -1.088448605520e+04      -1.088153469312e+04       7.199552748684e-02       7.199552748684e-02      -4.691337131009e-05       1.285620371554e+00       1.285765639769e+00      -4.668157486459e-05       1.285239785480e+00 
       9.166040712764e-02      -2.741845066054e-01      -1.105750529037e+04      -1.112013044352e+04      -2.735691975525e-01      -1.111006258066e+04      -1.110703287801e+04       6.839229938814e-02       6.839229938814e-02      -4.456545481346e-05       1.312248516469e+00       1.312408950441e+00      -4.434526177224e-05       1.311870292146e+00 
       9.496013691403e-02      -2.606830432489e-01      -1.127939964959e+04      -1.134821637676e+04      -2.600980355259e-01      -1.133718727385e+04      -1.133407957032e+04       6.502450888147e-02       6.502450888147e-02      -4.237086734775e-05       1.339070632577e+00       1.339242998753e+00      -4.216151819017e-05       1.338691969508e+00 
       9.833297573985e-02      -2.483111630588e-01      -1.151776777448e+04      -1.159168492246e+04      -2.477539235582e-01      -1.157986503249e+04      -1.157667571272e+04       6.193848088956e-02       6.193848088956e-02      -4.036010770489e-05       1.367727187956e+00       1.367909895895e+00      -4.016069621731e-05       1.367346028303e+00 
       1.017863169828e-01      -2.372048553351e-01      -1.178751576324e+04      -1.186482344774e+04      -2.366725441398e-01      -1.185248030108e+04      -1.184920164335e+04       5.916813603496e-02       5.916813603496e-02      -3.855519481464e-05       1.399921302895e+00       1.400110697525e+00      -3.836470474248e-05       1.399533182873e+00 
       1.053271571008e-01      -2.274127322727e-01      -1.210148306428e+04      -1.218010246463e+04      -2.269023942834e-01      -1.216756150223e+04      -1.216418215139e+04       5.672559857085e-02       5.672559857085e-02      -3.696357194701e-05       1.437135920488e+00       1.437326673250e+00      -3.678094489516e-05       1.436734386084e+00 
       1.089622031808e-01      -2.188619158577e-01      -1.246719472293e+04      -1.254491064748e+04      -2.183707630241e-01      -1.253251879406e+04      -1.252902515829e+04       5.459269075602e-02       5.459269075602e-02      -3.557359354261e-05       1.480224634735e+00       1.480413649714e+00      -3.539783142556e-05       1.479804779188e+00 
       1.126979527324e-01      -2.113944228512e-01      -1.288634032886e+04      -1.296111247361e+04      -2.109200248879e-01      -1.294918931611e+04      -1.294556713035e+04       5.273000622198e-02       5.273000622198e-02      -3.435984561380e-05       1.529445799759e+00       1.529628762850e+00      -3.419007886351e-05       1.529001588812e+00 
       1.165407533290e-01      -2.047410943305e-01      -1.335213301873e+04      -1.342245260416e+04      -2.042816252910e-01      -1.341123446222e+04      -1.340747109531e+04       5.107040632276e-02       5.107040632276e-02      -3.327855041495e-05       1.584058136373e+00       1.584232476512e+00      -3.311412577723e-05       1.583585294459e+00 
       1.204968473719e-01      -1.985532838736e-01      -1.384934910665e+04      -1.391447081070e+04      -1.981076912146e-01      -1.390407436753e+04      -1.390016117702e+04       4.952692280365e-02       4.952692280365e-02      -3.227233005646e-05       1.642285346692e+00       1.642447870636e+00      -3.211286968190e-05       1.641779768962e+00 
       1.245724057375e-01      -1.924666264065e-01      -1.435411630160e+04      -1.441452270122e+04      -1.920346930269e-01      -1.440487207037e+04      -1.440080680288e+04       4.800867325672e-02       4.800867325672e-02      -3.128322377959e-05       1.701451964039e+00       1.701606531642e+00      -3.112865147534e-05       1.700916535228e+00 
       1.287735530748e-01      -1.861514109339e-01      -1.483965349219e+04      -1.489695087712e+04      -1.857336471243e-01      -1.488779392853e+04      -1.488358163898e+04       4.643341178108e-02       4.643341178108e-02      -3.025666278771e-05       1.758504136042e+00       1.758654862464e+00      -3.010716076774e-05       1.757943150774e+00 
       1.331063868604e-01      -1.793555989175e-01      -1.527798262602e+04      -1.533488659113e+04      -1.789530870034e-01      -1.532579715601e+04      -1.532145062078e+04       4.473827175086e-02       4.473827175086e-02      -2.915216972467e-05       1.810238308060e+00       1.810391135765e+00      -2.900812588225e-05       1.809658853953e+00 
       1.375769918764e-01      -1.719741874290e-01      -1.564864457306e+04      -1.570832224179e+04      -1.715882420171e-01      -1.569880331129e+04      -1.569434111133e+04       4.289706050427e-02       4.289706050427e-02      -2.795249122144e-05       1.854286015618e+00       1.854442457390e+00      -2.781437606494e-05       1.853692374510e+00 
       1.421914514859e-01      -1.640880378537e-01      -1.594501376841e+04      -1.601107949642e+04      -1.637197919080e-01      -1.600056374028e+04      -1.599600635904e+04       4.092994797700e-02       4.092994797700e-02      -2.667058842390e-05       1.889923263565e+00       1.890098260637e+00      -2.653880743253e-05       1.889331315177e+00 
       1.469558568874e-01      -1.559111067057e-01      -1.617596709954e+04      -1.625094915552e+04      -1.555612141036e-01      -1.623903967072e+04      -1.623440543402e+04       3.889030352589e-02       3.889030352589e-02      -2.534151967086e-05       1.918084698867e+00       1.918280162811e+00      -2.521630703973e-05       1.917498978620e+00 
       1.518763154048e-01      -1.477823956742e-01      -1.636888990917e+04      -1.645394185020e+04      -1.474507480477e-01      -1.644045739206e+04      -1.643575721507e+04       3.686268701192e-02       3.686268701192e-02      -2.402029814359e-05       1.941852418001e+00       1.942068468756e+00      -2.390161506888e-05       1.941274745890e+00 
       1.569589587903e-01      -1.400995057596e-01      -1.656705864245e+04      -1.666139849667e+04      -1.397851011964e-01      -1.664646152451e+04      -1.664169443653e+04       3.494627529910e-02       3.494627529910e-02      -2.277146944947e-05       1.966166448055e+00       1.966401786252e+00      -2.265895717335e-05       1.965595515489e+00 
       1.622099524675e-01      -1.332006405954e-01      -1.681856063946e+04      -1.691929292995e+04      -1.329017208885e-01      -1.690335761576e+04      -1.689850934078e+04       3.322543022211e-02       3.322543022211e-02      -2.165029263111e-05       1.996497467749e+00       1.996743160931e+00      -2.154332215592e-05       1.995923394298e+00 
       1.676355066106e-01      -1.272803057750e-01      -1.716374289105e+04      -1.726676294777e+04      -1.269946713426e-01      -1.725047324158e+04      -1.724551812858e+04       3.174866783565e-02       3.174866783565e-02      -2.068794336817e-05       2.037519639432e+00       2.037771090115e+00      -2.058572700882e-05       2.036934368588e+00 
       1.732418899377e-01      -1.222996215395e-01      -1.761802754713e+04      -1.771867894380e+04      -1.220251645191e-01      -1.770276550181e+04      -1.769767347599e+04       3.050629112976e-02       3.050629112976e-02      -1.987851293402e-05       2.090929509322e+00       2.091174197086e+00      -1.978029650400e-05       2.090317645082e+00 
       1.790354470799e-01      -1.180434103469e-01      -1.816885912593e+04      -1.826370868283e+04      -1.177784999893e-01      -1.824871018831e+04      -1.824345437833e+04       2.944462499734e-02       2.944462499734e-02      -1.918647866047e-05       2.155441353687e+00       2.155675258745e+00      -1.909167783785e-05       2.154795165597e+00 
       1.850226203816e-01      -1.141206579139e-01      -1.876784925809e+04      -1.885581040747e+04      -1.138645494244e-01      -1.884189726278e+04      -1.883646408436e+04       2.846613735609e-02       2.846613735609e-02      -1.854894266093e-05       2.225526917423e+00       2.225745525299e+00      -1.845729145003e-05       2.224840421033e+00 
       1.912099769838e-01      -1.101163510458e-01      -1.934705010618e+04      -1.943015839043e+04      -1.098692298915e-01      -1.941701091557e+04      -1.941140560329e+04       2.746730747288e-02       2.746730747288e-02      -1.789825004751e-05       2.293455110526e+00       2.293668089275e+00      -1.780981518964e-05       2.292737296042e+00 
       1.976042420407e-01      -1.057012661811e-01      -1.983616396685e+04      -1.991889377244e+04      -1.054640530735e-01      -1.990580946205e+04      -1.990005700037e+04       2.636601326837e-02       2.636601326837e-02      -1.718062632365e-05       2.351204650029e+00       2.351420295064e+00      -1.709573713095e-05       2.350466489247e+00 
       2.042123389394e-01      -1.007925374337e-01      -2.019827574184e+04      -2.028611459776e+04      -1.005663412259e-01      -2.027223186955e+04      -2.026636775448e+04       2.514158530647e-02       2.514158530647e-02      -1.638277959088e-05       2.394465039987e+00       2.394692335427e+00      -1.630183303329e-05       2.393719771384e+00 
       2.110414374204e-01      -9.560679408296e-02      -2.045499677942e+04      -2.055229791176e+04      -9.539223541121e-02      -2.053693318023e+04      -2.053098702948e+04       2.384805885280e-02       2.384805885280e-02      -1.553975721933e-05       2.425720543354e+00       2.425971085509e+00      -1.546297524127e-05       2.424982634481e+00 
       2.180990105554e-01      -9.051696348966e-02      -2.067516155443e+04      -2.078289058058e+04      -9.031382768339e-02      -2.076589208332e+04      -2.075987446581e+04       2.257845692085e-02       2.257845692085e-02      -1.471238675828e-05       2.452748928696e+00       2.453021959967e+00      -1.463969262472e-05       2.452019394965e+00 
       2.253929016383e-01      -8.587120241347e-02      -2.094251584137e+04      -2.105783975066e+04      -8.567849360199e-02      -2.103965213272e+04      -2.103355027433e+04       2.141962340050e-02       2.141962340050e-02      -1.395733043212e-05       2.485085091312e+00       2.485368142633e+00      -1.388836786672e-05       2.484351349875e+00 
       2.329314021891e-01      -8.188543544191e-02      -2.132866235276e+04      -2.144617071625e+04      -8.170167234878e-02      -2.142764330917e+04      -2.142142424368e+04       2.042541808720e-02       2.042541808720e-02      -1.330958100143e-05       2.530891902355e+00       2.531178259057e+00      -1.324381989454e-05       2.530143025399e+00 
