# Matter power spectrum P(k) at redshift z=0
# for k=1.04595e-05 to 1.0871 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.841544692431e-01       4.047389130494e+94 
       4.873608301301e-01       1.838183629014e+95 
       4.905671911967e-01       8.039225061674e+95 
       4.937735524395e-01       3.606783001075e+96 
       4.969799138549e-01       1.693708325922e+97 
       5.001862754398e-01       7.772407068882e+97 
       5.033926371907e-01       3.137645300659e+98 
       5.065989991046e-01       1.177831920607e+99 
       5.098053611785e-01       4.502154430125e+99 
       5.130117234091e-01      1.842454423385e+100 
       5.162180857938e-01      7.786278475674e+100 
       5.194244483295e-01      3.428201419154e+101 
       5.226308110135e-01      1.594681241934e+102 
       5.258371738431e-01      7.161383546220e+102 
       5.290435368155e-01      3.417779427882e+103 
       5.322498999284e-01      1.694800933566e+104 
       5.354562631790e-01      8.017323071887e+104 
       5.386626265649e-01      3.472722811664e+105 
       5.418689900838e-01      1.488476890913e+106 
       5.450753537333e-01      6.546431491827e+106 
       5.482817175110e-01      2.714847517399e+107 
       5.514880814147e-01      1.031023862458e+108 
       5.546944454423e-01      3.745209402478e+108 
       5.579008095916e-01      1.375758386675e+109 
       5.611071738604e-01      5.611932352713e+109 
       5.643135382469e-01      2.379779153965e+110 
       5.675199027489e-01      1.042342641404e+111 
       5.707262673645e-01      5.534896006130e+111 
       5.739326320918e-01      3.032208826762e+112 
       5.771389969289e-01      1.503697857033e+113 
       5.803453618740e-01      7.139918163703e+113 
       5.835517269254e-01      3.310921094069e+114 
       5.867580920812e-01      1.421137649824e+115 
       5.899644573398e-01      5.670390866204e+115 
       5.931708226995e-01      2.391290713455e+116 
       5.963771881587e-01      9.560962420112e+116 
       5.995835537157e-01      3.653862269767e+117 
       6.027899193690e-01      1.237788020272e+118 
       6.059962851170e-01      2.984393890796e+118 
       6.092026509584e-01      8.702155736713e+118 
       6.124090168915e-01      6.626732240015e+119 
       6.156153829150e-01      4.079401856741e+120 
       6.188217490274e-01      2.427337902107e+121 
       6.220281152274e-01      1.289622037566e+122 
       6.252344815136e-01      5.870890947788e+122 
       6.284408478847e-01      2.410415222200e+123 
       6.316472143394e-01      1.176766270170e+124 
       6.348535808764e-01      4.749200968627e+124 
       6.380599474945e-01      2.037457518820e+125 
       6.412663141925e-01      8.153907570901e+125 
       6.444726809691e-01      2.928414766005e+126 
       6.476790478233e-01      9.866294752450e+126 
       6.508854147538e-01      2.965987381987e+127 
       6.540917817595e-01      7.039158745457e+127 
       6.572981488393e-01      4.951666816581e+128 
       6.605045159922e-01      3.352373742419e+129 
       6.637108832171e-01      1.743399415968e+130 
       6.669172505129e-01      9.020899208481e+130 
       6.701236178786e-01      4.531495600300e+131 
       6.733299853132e-01      2.111703216622e+132 
       6.765363528158e-01      9.220203456303e+132 
       6.797427203853e-01      3.741402146389e+133 
       6.829490880209e-01      1.442047218811e+134 
       6.861554557215e-01      5.511881512752e+134 
       6.893618234864e-01      1.884818028988e+135 
       6.925681913145e-01      5.603189724939e+135 
       6.957745592050e-01      2.282407155152e+136 
       6.989809271571e-01      1.231239628017e+137 
       7.021872951700e-01      6.030569579885e+137 
       7.053936632427e-01      2.723746182689e+138 
       7.086000313744e-01      1.350113614060e+139 
       7.118063995644e-01      7.314257681409e+139 
       7.150127678119e-01      3.359094143072e+140 
       7.182191361161e-01      1.636005312219e+141 
       7.214255044763e-01      7.273311243861e+141 
       7.246318728917e-01      3.043419888367e+142 
       7.278382413615e-01      1.195542040050e+143 
       7.310446098851e-01      4.408636508349e+143 
       7.342509784617e-01      1.648529474715e+144 
       7.374573470908e-01      6.258835200343e+144 
       7.406637157714e-01      1.845472195882e+145 
       7.438700845031e-01      8.103905779695e+145 
       7.470764532852e-01      4.162152828429e+146 
       7.502828221169e-01      2.547594561472e+147 
       7.534891909977e-01      1.271034765204e+148 
       8.236282632400e-01      9.425812013596e+161 
       9.252955195736e-01      1.376918728309e+182 
       1.087102628634e+00      7.461427602852e+213 
